Name,Tier,Serial,,
Marvin Jones Jr.,Legendary,9,,
Mason Crosby,Core,216,,
Mason Crosby,Rare,24,,
Mason Crosby,Rare,65,,
Matt Breida,Elite,20,,
Matt Breida,Core,200,,
Matt Gay,Elite,5,,
Matt Gay,Core,322,,
Matt Gay,Rare,67,,
Matt Prater,Core,591,,
Matt Prater,Core,371,,
Matt Prater,Elite,13,,
Matt Prater,Rare,10,,
Matt Ryan,Rare,75,,
Matt Ryan,Core,49,,
Matt Ryan,Elite,11,,
Matt Ryan,Core,245,,
Matt Ryan,Elite,28,,
Matthew Stafford,Rare,70,,
Matthew Stafford,Core,13,,
Maxx Crosby,Rare,11,,
Mecole Hardman,Elite,21,,
Mecole Hardman,Core,20,,
Mecole Hardman,Core,93,,
Mecole Hardman,Core,168,,
Mecole Hardman,Elite,7,,
Melvin Gordon III,Core,369,,
Melvin Gordon III,Core,386,,
Melvin Gordon III,Legendary,5,,
Micah Hyde,Core,197,,
Micah Hyde,Core,48,,
Michael Carter,Core,350,,
Michael Carter,Core,129,,
Michael Gallup,Legendary,6,,
Michael Gallup,Rare,43,,
Michael Gallup,Core,376,,
Michael Gallup,Rare,38,,
Michael Gallup,Core,162,,
Michael Gallup,Core,445,,
Michael Pittman Jr.,Rare,23,,
Michael Pittman Jr.,Legendary,5,,
Michael Pittman Jr.,Core,261,,
Michael Pittman Jr.,Core,512,,
Michael Thomas,Core,16,,
Michael Thomas,Legendary,1,,
Michael Thomas,Reignmaker,1,,
Michael Thomas,Rare,15,,
Mike Davis,Rare,83,,
Mike Davis,Legendary,1,,
Mike Davis,Rare,65,,
Mike Davis,Legendary,8,,
Mike Evans,Rare,70,,
Mike Evans,Elite,4,,
Mike Evans,Core,52,,
Mike Gesicki,Legendary,2,,
Mike Gesicki,Core,498,,
Mike Gesicki,Rare,112,,
Mike Gesicki,Core,206,,
Mike Gesicki,Core,318,,
Mike Gesicki,Core,457,,
Mike Gesicki,Elite,25,,
Mike Hughes,Legendary,2,,
Mike Hughes,Rare,29,,
Mike White,Rare,19,,
Mike Williams,Rare,120,,
Mike Williams,Elite,9,,
Mike Williams,Core,95,,
Mike Williams,Core,292,,
Mike Williams,Core,316,,
Mike Williams,Core,397,,
Mike Williams,Elite,3,,
Mike Williams,Elite,4,,
Mike Williams,Elite,6,,
Miles Sanders,Rare,20,,
Miles Sanders,Core,59,,
Miles Sanders,Core,225,,
Miles Sanders,Rare,74,,
Mitch Trubisky,Rare,64,,
Mitch Trubisky,Core,496,,
Mitch Trubisky,Core,6,,
Mitch Trubisky,Elite,7,,
Mitch Trubisky,Legendary,6,,
Mo Alie-Cox,Core,174,,
Mo Alie-Cox,Reignmaker,1,,
Mo Alie-Cox,Core,327,,
Mo Alie-Cox,Rare,59,,
Montez Sweat,Rare,4,,
Myles Garrett,Elite,3,,
Myles Garrett,Core,56,,
Myles Gaskin,Elite,29,,
Myles Gaskin,Elite,11,,
Myles Gaskin,Core,15,,
Myles Gaskin,Core,506,,
Myles Gaskin,Rare,93,,
Myles Gaskin,Rare,95,,
Myles Gaskin,Core,229,,
Myles Gaskin,Core,187,,
Najee Harris,Rare,72,,
Najee Harris,Legendary,2,,
Najee Harris,Legendary,9,,
Najee Harris,Core,198,,
Najee Harris,Core,454,,
Najee Harris,Elite,11,,
